'EXPERIMENT 5/25, data=('3476', 1, 30, 0.0001, 32), file=conj_5' 
'EXPERIMENT 6/1644062472.875442, data=('3358', 2, 32, 0.01, 32), file=conj_6' 
'EXPERIMENT 7/1644062472.875442, data=('3358', 2, 32, 0.001, 32), file=conj_6' 
'EXPERIMENT 8/1644062472.875442, data=('3358', 2, 32, 0.0001, 32), file=conj_6' 
'EXPERIMENT 9/1644062472.875442, data=('3358', 3, 32, 0.01, 32), file=conj_6' 
'EXPERIMENT 10/1644062472.875442, data=('3358', 3, 32, 0.001, 32), file=conj_6' 
'EXPERIMENT 11/1644062472.875442, data=('3358', 3, 32, 0.0001, 32), file=conj_6' 
'EXPERIMENT 12/1644062472.875442, data=('3358', 4, 32, 0.01, 32), file=conj_6' 
'EXPERIMENT 13/1644062472.875442, data=('3358', 4, 32, 0.001, 32), file=conj_6' 
'EXPERIMENT 14/1644062472.875442, data=('3358', 4, 32, 0.0001, 32), file=conj_6' 
'EXPERIMENT 15/1644062472.875442, data=('3358', 5, 32, 0.01, 32), file=conj_6' 
'EXPERIMENT 16/1644062472.875442, data=('3358', 5, 32, 0.001, 32), file=conj_6' 
'EXPERIMENT 17/1644062472.875442, data=('3358', 5, 32, 0.0001, 32), file=conj_6' 
'EXPERIMENT 18/1644062472.875442, data=('3358', 6, 32, 0.01, 32), file=conj_6' 
'EXPERIMENT 19/1644062472.875442, data=('3358', 6, 32, 0.001, 32), file=conj_6' 
'EXPERIMENT 20/1644062472.875442, data=('3358', 6, 32, 0.0001, 32), file=conj_6' 
'EXPERIMENT 21/1644062472.875442, data=('3358', 7, 32, 0.01, 32), file=conj_6' 
'EXPERIMENT 22/1644062472.875442, data=('3358', 7, 32, 0.001, 32), file=conj_6' 
'EXPERIMENT 23/1644062472.875442, data=('3358', 7, 32, 0.0001, 32), file=conj_6' 
'EXPERIMENT 24/1644062472.875442, data=('3358', 8, 32, 0.01, 32), file=conj_6' 
'EXPERIMENT 25/1644062472.875442, data=('3358', 8, 32, 0.001, 32), file=conj_6' 
'EXPERIMENT 26/1644062472.875442, data=('3358', 8, 32, 0.0001, 32), file=conj_6' 
'EXPERIMENT 27/1644062472.875442, data=('3358', 9, 32, 0.01, 32), file=conj_6' 
'EXPERIMENT 28/1644062472.875442, data=('3358', 9, 32, 0.001, 32), file=conj_6' 
'EXPERIMENT 29/1644062472.875442, data=('3358', 9, 32, 0.0001, 32), file=conj_6' 
'EXPERIMENT 0/1644174435.2206404, data=('3386', 0, 30, 0.01, 32), file=conj_7' 
'EXPERIMENT 0/30, data=('3386', 0, 30, 0.01, 32), file=conj_7' 
'EXPERIMENT 1/30, data=('3386', 0, 30, 0.001, 32), file=conj_7' 
'EXPERIMENT 2/30, data=('3386', 0, 30, 0.0001, 32), file=conj_7' 
'EXPERIMENT 3/30, data=('3386', 1, 30, 0.01, 32), file=conj_7' 
'EXPERIMENT 0/30, data=('3386', 0, 33, 0.01, 32), file=conj_7' 
'EXPERIMENT 1/30, data=('3386', 0, 33, 0.001, 32), file=conj_7' 
'EXPERIMENT 2/30, data=('3386', 0, 33, 0.0001, 32), file=conj_7' 
'EXPERIMENT 3/30, data=('3386', 1, 33, 0.01, 32), file=conj_7' 
'EXPERIMENT 4/30, data=('3386', 1, 33, 0.001, 32), file=conj_7' 
'EXPERIMENT 5/30, data=('3386', 1, 33, 0.0001, 32), file=conj_7' 
'EXPERIMENT 6/30, data=('3386', 2, 33, 0.01, 32), file=conj_7' 
'EXPERIMENT 7/30, data=('3386', 2, 33, 0.001, 32), file=conj_7' 
'EXPERIMENT 8/30, data=('3386', 2, 33, 0.0001, 32), file=conj_7' 
'EXPERIMENT 9/30, data=('3386', 3, 33, 0.01, 32), file=conj_7' 
'EXPERIMENT 10/30, data=('3386', 3, 33, 0.001, 32), file=conj_7' 
'EXPERIMENT 11/30, data=('3386', 3, 33, 0.0001, 32), file=conj_7' 
'EXPERIMENT 12/30, data=('3386', 4, 33, 0.01, 32), file=conj_7' 
'EXPERIMENT 13/30, data=('3386', 4, 33, 0.001, 32), file=conj_7' 
'EXPERIMENT 14/30, data=('3386', 4, 33, 0.0001, 32), file=conj_7' 
'EXPERIMENT 15/30, data=('3386', 5, 33, 0.01, 32), file=conj_7' 
'EXPERIMENT 16/30, data=('3386', 5, 33, 0.001, 32), file=conj_7' 
'EXPERIMENT 17/30, data=('3386', 5, 33, 0.0001, 32), file=conj_7' 
'EXPERIMENT 18/30, data=('3386', 6, 33, 0.01, 32), file=conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 19/30, data=('3386', 6, 33, 0.001, 32), file=conj_7' 
'EXPERIMENT 20/30, data=('3386', 6, 33, 0.0001, 32), file=conj_7' 
'EXPERIMENT 21/30, data=('3386', 7, 33, 0.01, 32), file=conj_7' 
'EXPERIMENT 1/30, data=('2997', 0, 54, 0.001, 32), file=damp_conj_7' 
'EXPERIMENT 22/30, data=('3386', 7, 33, 0.001, 32), file=conj_7' 
'EXPERIMENT 23/30, data=('3386', 7, 33, 0.0001, 32), file=conj_7' 
'EXPERIMENT 24/30, data=('3386', 8, 33, 0.01, 32), file=conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 1/30, data=('2997', 0, 54, 0.001, 32), file=damp_conj_7' 
'EXPERIMENT 2/30, data=('2997', 0, 54, 0.0001, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 1/30, data=('2997', 0, 54, 0.001, 32), file=damp_conj_7' 
'EXPERIMENT 2/30, data=('2997', 0, 54, 0.0001, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 1/30, data=('2997', 0, 54, 0.001, 32), file=damp_conj_7' 
'EXPERIMENT 2/30, data=('2997', 0, 54, 0.0001, 32), file=damp_conj_7' 
'EXPERIMENT 3/30, data=('2997', 1, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 4/30, data=('2997', 1, 54, 0.001, 32), file=damp_conj_7' 
'EXPERIMENT 5/30, data=('2997', 1, 54, 0.0001, 32), file=damp_conj_7' 
'EXPERIMENT 6/30, data=('2997', 2, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 7/30, data=('2997', 2, 54, 0.001, 32), file=damp_conj_7' 
'EXPERIMENT 8/30, data=('2997', 2, 54, 0.0001, 32), file=damp_conj_7' 
'EXPERIMENT 9/30, data=('2997', 3, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 0/30, data=('2997', 0, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 1/30, data=('2997', 0, 54, 0.001, 32), file=damp_conj_7' 
'EXPERIMENT 2/30, data=('2997', 0, 54, 0.0001, 32), file=damp_conj_7' 
'EXPERIMENT 3/30, data=('2997', 1, 54, 0.01, 32), file=damp_conj_7' 
'EXPERIMENT 4/30, data=('2997', 1, 54, 0.001, 32), file=damp_conj_7' 
'EXPERIMENT 5/30, data=('2997', 1, 54, 0.0001, 32), file=damp_conj_7' 
'EXPERIMENT 0/40, data=('2997', 0, 54, 1e-05, 32), file=damp_conj_7' 
'EXPERIMENT 1/40, data=('2997', 0, 54, 1e-05, 32), file=damp_conj_7' 
'EXPERIMENT 2/40, data=('2997', 0, 54, 0.0001, 32), file=damp_conj_7' 
'EXPERIMENT 3/40, data=('2997', 0, 54, 0.0001, 32), file=damp_conj_7' 
'EXPERIMENT 4/40, data=('2997', 1, 54, 1e-05, 32), file=damp_conj_7' 
'EXPERIMENT 25/30, data=('3386', 8, 33, 0.001, 32), file=conj_7' 
'EXPERIMENT 5/40, data=('2997', 1, 54, 1e-05, 32), file=damp_conj_7' 
'EXPERIMENT 6/40, data=('2997', 1, 54, 0.0001, 32), file=damp_conj_7' 
'EXPERIMENT 7/40, data=('2997', 1, 54, 0.0001, 32), file=damp_conj_7' 
'EXPERIMENT 8/40, data=('2997', 2, 54, 1e-05, 32), file=damp_conj_7' 
'EXPERIMENT 9/40, data=('2997', 2, 54, 1e-05, 32), file=damp_conj_7' 
'EXPERIMENT 10/40, data=('2997', 2, 54, 0.0001, 32), file=damp_conj_7' 
'EXPERIMENT 11/40, data=('2997', 2, 54, 0.0001, 32), file=damp_conj_7' 
'EXPERIMENT 12/40, data=('2997', 3, 54, 1e-05, 32), file=damp_conj_7' 
'EXPERIMENT 13/40, data=('2997', 3, 54, 1e-05, 32), file=damp_conj_7' 
'EXPERIMENT 14/40, data=('2997', 3, 54, 0.0001, 32), file=damp_conj_7' 
'EXPERIMENT 15/40, data=('2997', 3, 54, 0.0001, 32), file=damp_conj_7' 
'EXPERIMENT 16/40, data=('2997', 4, 54, 1e-05, 32), file=damp_conj_7' 
'EXPERIMENT 17/40, data=('2997', 4, 54, 1e-05, 32), file=damp_conj_7' 
'EXPERIMENT 18/40, data=('2997', 4, 54, 0.0001, 32), file=damp_conj_7' 
'EXPERIMENT 26/30, data=('3386', 8, 33, 0.0001, 32), file=conj_7' 
'EXPERIMENT 19/40, data=('2997', 4, 54, 0.0001, 32), file=damp_conj_7' 
'EXPERIMENT 20/40, data=('2997', 5, 54, 1e-05, 32), file=damp_conj_7' 
'EXPERIMENT 21/40, data=('2997', 5, 54, 1e-05, 32), file=damp_conj_7' 
'EXPERIMENT 22/40, data=('2997', 5, 54, 0.0001, 32), file=damp_conj_7' 
'EXPERIMENT 23/40, data=('2997', 5, 54, 0.0001, 32), file=damp_conj_7' 
'EXPERIMENT 24/40, data=('2997', 6, 54, 1e-05, 32), file=damp_conj_7' 
'EXPERIMENT 25/40, data=('2997', 6, 54, 1e-05, 32), file=damp_conj_7' 
'EXPERIMENT 26/40, data=('2997', 6, 54, 0.0001, 32), file=damp_conj_7' 
'EXPERIMENT 27/40, data=('2997', 6, 54, 0.0001, 32), file=damp_conj_7' 
'EXPERIMENT 28/40, data=('2997', 7, 54, 1e-05, 32), file=damp_conj_7' 
'EXPERIMENT 29/40, data=('2997', 7, 54, 1e-05, 32), file=damp_conj_7' 
'EXPERIMENT 30/40, data=('2997', 7, 54, 0.0001, 32), file=damp_conj_7' 
'EXPERIMENT 31/40, data=('2997', 7, 54, 0.0001, 32), file=damp_conj_7' 
'EXPERIMENT 32/40, data=('2997', 8, 54, 1e-05, 32), file=damp_conj_7' 
'EXPERIMENT 27/30, data=('3386', 9, 33, 0.01, 32), file=conj_7' 
'EXPERIMENT 33/40, data=('2997', 8, 54, 1e-05, 32), file=damp_conj_7' 
'EXPERIMENT 34/40, data=('2997', 8, 54, 0.0001, 32), file=damp_conj_7' 
'EXPERIMENT 35/40, data=('2997', 8, 54, 0.0001, 32), file=damp_conj_7' 
'EXPERIMENT 36/40, data=('2997', 9, 54, 1e-05, 32), file=damp_conj_7' 
'EXPERIMENT 37/40, data=('2997', 9, 54, 1e-05, 32), file=damp_conj_7' 
'EXPERIMENT 38/40, data=('2997', 9, 54, 0.0001, 32), file=damp_conj_7' 
'EXPERIMENT 39/40, data=('2997', 9, 54, 0.0001, 32), file=damp_conj_7' 
'EXPERIMENT 0/420, data=('3358', 0, 32, 1e-05, 32), file=damp_conj_0' 
'EXPERIMENT 0/420, data=('3358', 0, 32, 1e-05, 32), file=damp_conj_0' 
'EXPERIMENT 27/3, data=('3386', 9, 33, 0.01, 32), file=conj_7b' 
'EXPERIMENT 28/3, data=('3386', 9, 33, 0.001, 32), file=conj_7b' 
'EXPERIMENT 29/3, data=('3386', 9, 33, 0.0001, 32), file=conj_7b' 
'EXPERIMENT 0/420, data=('3358', 0, 32, 1e-05, 32), file=damp_conj_0' 
'EXPERIMENT 0/420, data=('3358', 0, 32, 1e-05, 32), file=damp_conj_0' 
'EXPERIMENT 0/420, data=('3358', 0, 32, 1e-05, 32), file=damp_conj_0' 
'EXPERIMENT 1/420, data=('3358', 0, 32, 1e-05, 32), file=damp_conj_0' 
'EXPERIMENT 2/420, data=('3358', 0, 32, 0.0001, 32), file=damp_conj_0' 
'EXPERIMENT 3/420, data=('3358', 0, 32, 0.0001, 32), file=damp_conj_0' 
'EXPERIMENT 4/420, data=('3358', 0, 32, 0.001, 32), file=damp_conj_0' 
'EXPERIMENT 5/420, data=('3358', 0, 32, 0.001, 32), file=damp_conj_0' 
'EXPERIMENT 6/420, data=('3358', 1, 32, 1e-05, 32), file=damp_conj_0' 
'EXPERIMENT 0/420, data=('2821', 0, 35, 1e-05, 32), file=damp_conj_0' 
'EXPERIMENT 1/420, data=('2821', 0, 35, 1e-05, 32), file=damp_conj_0' 
'EXPERIMENT 2/420, data=('2821', 0, 35, 0.0001, 32), file=damp_conj_0' 
'EXPERIMENT 3/420, data=('2821', 0, 35, 0.0001, 32), file=damp_conj_0' 
'EXPERIMENT 4/420, data=('2821', 0, 35, 0.001, 32), file=damp_conj_0' 
'EXPERIMENT 5/420, data=('2821', 0, 35, 0.001, 32), file=damp_conj_0' 
'EXPERIMENT 6/420, data=('2821', 1, 35, 1e-05, 32), file=damp_conj_0' 
'EXPERIMENT 7/420, data=('2821', 1, 35, 1e-05, 32), file=damp_conj_0' 
'EXPERIMENT 0/630, data=('2997', 0, 54, 1e-06, 32), file=damp_conj_0' 
'EXPERIMENT 0/630, data=('2997', 0, 54, 1e-06, 32), file=damp_conj_0' 
'EXPERIMENT 1/630, data=('2997', 0, 54, 1e-06, 32), file=damp_conj_0' 
'EXPERIMENT 2/630, data=('2997', 0, 54, 1e-06, 32), file=damp_conj_0' 
'EXPERIMENT 0/630, data=('2997', 0, 54, 1e-06, 32), file=damp_conj_0' 
'EXPERIMENT 0/210, data=('2997', 0, 54, 1e-06, 32), file=damp_conj_0' 
'EXPERIMENT 1/210, data=('2997', 0, 54, 1e-05, 32), file=damp_conj_0' 
'EXPERIMENT 2/210, data=('2997', 0, 54, 0.0001, 32), file=damp_conj_0' 
'EXPERIMENT 3/210, data=('2997', 1, 54, 1e-06, 32), file=damp_conj_0' 
'EXPERIMENT 4/210, data=('2997', 1, 54, 1e-05, 32), file=damp_conj_0' 
'EXPERIMENT 5/210, data=('2997', 1, 54, 0.0001, 32), file=damp_conj_0' 
'EXPERIMENT 0/80, data=('2997', 0, 54, 1e-06, 32), file=damp_conj_0' 
'EXPERIMENT 1/80, data=('2997', 0, 54, 1e-05, 32), file=damp_conj_0' 
'EXPERIMENT 2/80, data=('2997', 0, 54, 0.0001, 32), file=damp_conj_0' 
'EXPERIMENT 3/80, data=('2997', 0, 54, 0.001, 32), file=damp_conj_0' 
'EXPERIMENT 4/80, data=('2997', 1, 54, 1e-06, 32), file=damp_conj_0' 
'EXPERIMENT 5/80, data=('2997', 1, 54, 1e-05, 32), file=damp_conj_0' 
'EXPERIMENT 0/80, data=('2997', 0, 54, 1e-05, 32), file=damp_conj_0' 
'EXPERIMENT 0/120, data=('2997', 0, 54, 1e-05, 32), file=damp_conj_0a' 
'EXPERIMENT 1/120, data=('2997', 0, 54, 0.0001, 32), file=damp_conj_0a' 
'EXPERIMENT 2/120, data=('2997', 0, 54, 0.001, 32), file=damp_conj_0a' 
'EXPERIMENT 3/120, data=('2997', 0, 54, 0.01, 32), file=damp_conj_0a' 
'EXPERIMENT 4/120, data=('2997', 1, 54, 1e-05, 32), file=damp_conj_0a' 
'EXPERIMENT 5/120, data=('2997', 1, 54, 0.0001, 32), file=damp_conj_0a' 
'EXPERIMENT 6/120, data=('2997', 1, 54, 0.001, 32), file=damp_conj_0a' 
'EXPERIMENT 7/120, data=('2997', 1, 54, 0.01, 32), file=damp_conj_0a' 
'EXPERIMENT 8/120, data=('2997', 2, 54, 1e-05, 32), file=damp_conj_0a' 
'EXPERIMENT 9/120, data=('2997', 2, 54, 0.0001, 32), file=damp_conj_0a' 
'EXPERIMENT 10/120, data=('2997', 2, 54, 0.001, 32), file=damp_conj_0a' 
'EXPERIMENT 11/120, data=('2997', 2, 54, 0.01, 32), file=damp_conj_0a' 
'EXPERIMENT 12/120, data=('2997', 3, 54, 1e-05, 32), file=damp_conj_0a' 
'EXPERIMENT 13/120, data=('2997', 3, 54, 0.0001, 32), file=damp_conj_0a' 
'EXPERIMENT 0/120, data=('2997', 0, 54, 1e-05, 32), file=damp_conj_0a' 
'EXPERIMENT 1/120, data=('2997', 0, 54, 0.0001, 32), file=damp_conj_0a' 
'EXPERIMENT 2/120, data=('2997', 0, 54, 0.001, 32), file=damp_conj_0a' 
'EXPERIMENT 3/120, data=('2997', 0, 54, 0.01, 32), file=damp_conj_0a' 
'EXPERIMENT 4/120, data=('2997', 1, 54, 1e-05, 32), file=damp_conj_0a' 
'EXPERIMENT 5/120, data=('2997', 1, 54, 0.0001, 32), file=damp_conj_0a' 
'EXPERIMENT 6/120, data=('2997', 1, 54, 0.001, 32), file=damp_conj_0a' 
'EXPERIMENT 7/120, data=('2997', 1, 54, 0.01, 32), file=damp_conj_0a' 
'EXPERIMENT 8/120, data=('2997', 2, 54, 1e-05, 32), file=damp_conj_0a' 
'EXPERIMENT 9/120, data=('2997', 2, 54, 0.0001, 32), file=damp_conj_0a' 
'EXPERIMENT 10/120, data=('2997', 2, 54, 0.001, 32), file=damp_conj_0a' 
'EXPERIMENT 11/120, data=('2997', 2, 54, 0.01, 32), file=damp_conj_0a' 
'EXPERIMENT 12/120, data=('2997', 3, 54, 1e-05, 32), file=damp_conj_0a' 
'EXPERIMENT 13/120, data=('2997', 3, 54, 0.0001, 32), file=damp_conj_0a' 
'EXPERIMENT 14/120, data=('2997', 3, 54, 0.001, 32), file=damp_conj_0a' 
'EXPERIMENT 15/120, data=('2997', 3, 54, 0.01, 32), file=damp_conj_0a' 
'EXPERIMENT 16/120, data=('2997', 4, 54, 1e-05, 32), file=damp_conj_0a' 
'EXPERIMENT 17/120, data=('2997', 4, 54, 0.0001, 32), file=damp_conj_0a' 
'EXPERIMENT 18/120, data=('2997', 4, 54, 0.001, 32), file=damp_conj_0a' 
'EXPERIMENT 19/120, data=('2997', 4, 54, 0.01, 32), file=damp_conj_0a' 
'EXPERIMENT 20/120, data=('2997', 5, 54, 1e-05, 32), file=damp_conj_0a' 
'EXPERIMENT 21/120, data=('2997', 5, 54, 0.0001, 32), file=damp_conj_0a' 
'EXPERIMENT 22/120, data=('2997', 5, 54, 0.001, 32), file=damp_conj_0a' 
'EXPERIMENT 23/120, data=('2997', 5, 54, 0.01, 32), file=damp_conj_0a' 
'EXPERIMENT 24/120, data=('2997', 6, 54, 1e-05, 32), file=damp_conj_0a' 
'EXPERIMENT 25/120, data=('2997', 6, 54, 0.0001, 32), file=damp_conj_0a' 
'EXPERIMENT 26/120, data=('2997', 6, 54, 0.001, 32), file=damp_conj_0a' 
'EXPERIMENT 27/120, data=('2997', 6, 54, 0.01, 32), file=damp_conj_0a' 
'EXPERIMENT 28/120, data=('2997', 7, 54, 1e-05, 32), file=damp_conj_0a' 
'EXPERIMENT 29/120, data=('2997', 7, 54, 0.0001, 32), file=damp_conj_0a' 
'EXPERIMENT 30/120, data=('2997', 7, 54, 0.001, 32), file=damp_conj_0a' 
'EXPERIMENT 31/120, data=('2997', 7, 54, 0.01, 32), file=damp_conj_0a' 
'EXPERIMENT 32/120, data=('2997', 8, 54, 1e-05, 32), file=damp_conj_0a' 
'EXPERIMENT 33/120, data=('2997', 8, 54, 0.0001, 32), file=damp_conj_0a' 
'EXPERIMENT 34/120, data=('2997', 8, 54, 0.001, 32), file=damp_conj_0a' 
'EXPERIMENT 35/120, data=('2997', 8, 54, 0.01, 32), file=damp_conj_0a' 
'EXPERIMENT 36/120, data=('2997', 9, 54, 1e-05, 32), file=damp_conj_0a' 
'EXPERIMENT 37/120, data=('2997', 9, 54, 0.0001, 32), file=damp_conj_0a' 
'EXPERIMENT 38/120, data=('2997', 9, 54, 0.001, 32), file=damp_conj_0a' 
'EXPERIMENT 39/120, data=('2997', 9, 54, 0.01, 32), file=damp_conj_0a' 
'EXPERIMENT 40/120, data=('2261', 0, 31, 1e-05, 32), file=damp_conj_0a' 
'EXPERIMENT 41/120, data=('2261', 0, 31, 0.0001, 32), file=damp_conj_0a' 
'EXPERIMENT 42/120, data=('2261', 0, 31, 0.001, 32), file=damp_conj_0a' 
'EXPERIMENT 43/120, data=('2261', 0, 31, 0.01, 32), file=damp_conj_0a' 
'EXPERIMENT 0/120, data=('2261', 0, 31, 1e-05, 32), file=damp_conj_0b' 
'EXPERIMENT 0/120, data=('2261', 0, 31, 1e-05, 32), file=damp_conj_0b' 
